293
10
22020	25595	26856	19156	34182	44335	51841	20.888	20.792	51783
34182	44335	51841	51783	72025	96173	108280	24.85	24.174	111410
51841	51783	72025	96173	108280	111410	120730	24.372	25.195	128400
120730	128400	153060	156190	140450	128530	103400	23.175	22.855	98074
156190	140450	128530	103400	98074	101010	98401	22.451	21.001	66637
140450	128530	103400	98074	101010	98401	66637	21.001	23.487	85389
103400	98074	101010	98401	66637	85389	113900	24.173	24.004	122820
98074	101010	98401	66637	85389	113900	122820	24.004	23.587	120780
101010	98401	66637	85389	113900	122820	120780	23.587	23.979	124650
98401	66637	85389	113900	122820	120780	124650	23.979	22.915	80558
66637	85389	113900	122820	120780	124650	80558	22.915	22.918	87700
120780	124650	80558	87700	97042	112570	126120	25.201	25.261	134820
80558	87700	97042	112570	126120	134820	133300	25.219	24.921	138000
87700	97042	112570	126120	134820	133300	138000	24.921	25.18	143290
97042	112570	126120	134820	133300	138000	143290	25.18	24.998	138110
138000	143290	138110	117070	39677	26719	35947	18.151	17.797	21681
138110	117070	39677	26719	35947	21681	37892	18.312	18.904	25587
117070	39677	26719	35947	21681	37892	25587	18.904	20.411	50834
26719	35947	21681	37892	25587	50834	56179	20.28	20.547	59133
35947	21681	37892	25587	50834	56179	59133	20.547	21.079	61716
21681	37892	25587	50834	56179	59133	61716	21.079	21.087	70824
37892	25587	50834	56179	59133	61716	70824	21.087	22.326	68345
25587	50834	56179	59133	61716	70824	68345	22.326	24.021	93098
50834	56179	59133	61716	70824	68345	93098	24.021	24.563	116310
61716	70824	68345	93098	116310	120890	106700	23.171	25.095	98385
93098	116310	120890	106700	98385	100690	64935	20.342	19.658	45783
116310	120890	106700	98385	100690	64935	45783	19.658	20.471	45748
106700	98385	100690	64935	45783	45748	60677	21.62	21.243	61445
98385	100690	64935	45783	45748	60677	61445	21.243	20.884	53985
45783	45748	60677	61445	53985	33979	38813	20.376	22.225	72230
61445	53985	33979	38813	72230	48052	27734	18.465	19.323	31283
33979	38813	72230	48052	27734	31283	41871	20.692	24.644	88644
72230	48052	27734	31283	41871	88644	110000	25.188	25.909	127570
48052	27734	31283	41871	88644	110000	127570	25.909	26.129	140850
27734	31283	41871	88644	110000	127570	140850	26.129	26.14	150750
127570	140850	150750	127850	133400	109070	106710	23.608	24.428	110770
140850	150750	127850	133400	109070	106710	110770	24.428	23.595	97822
150750	127850	133400	109070	106710	110770	97822	23.595	21.287	41502
97822	41502	-591	11175	1091.2	3056.5	-11790	18.027	19.369	5973.5
41502	-591	11175	1091.2	3056.5	-11790	5973.5	19.369	19.367	11530
1091.2	3056.5	-11790	5973.5	11530	7383.7	-1392	17.425	17.115	-11064
11530	7383.7	-1392	-11064	-553.5	1320.8	6682.2	20.878	21.931	23940
7383.7	-1392	-11064	-553.5	1320.8	6682.2	23940	21.931	24.693	63357
-1392	-11064	-553.5	1320.8	6682.2	23940	63357	24.693	24.694	89505
-553.5	1320.8	6682.2	23940	63357	89505	101540	25.135	25.112	109100
1320.8	6682.2	23940	63357	89505	101540	109100	25.112	24.603	108960
